area,status,evidence,diagnosis,priority,next_action
Active workflow path,confirmed_correct,"docs/exdqlm_multivar_keep_source_lock.md; DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:22-24,45-47,1314-1319,1565-1618","Active runner is DISC_Optimal_Synth_Ranges_W_transfer_forecast.r; 20_model_setup.R is shared/analogue context, not the sourced live path.",P0,"Keep source-lock doc current whenever the runner changes."
Historical/forecast keep state contract,confirmed_correct,"docs/exdqlm_multivar_keep_state_contract_audit.md; main.tex:161-239; DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1458-1506,1565-1618; DISC_kalman_synth_transfer_forecast.cpp:1066-1130","Historical and forecast states retain the transfer block when ppx>0; forecast shrinkage drops inactive discrepancy blocks only.",P1,"Add an automated fixture for ragged multi-segment transfer retention."
Ensemble/member axis contract,confirmed_correct,"docs/exdqlm_multivar_keep_wishart_ensemble_contract_audit.md; R/disc_w/06_ensemble_spec.R:55-81,107-130; R/disc_w/04_ensemble_bookkeeping.R:24-37; DISC_kalman_synth_transfer_forecast.cpp:1218-1233","Rows are lead/time and columns are members; C++ expands source-level loadings to member-level observations with num_mem.",P1,"Keep dimension validation enabled for strict audit runs."
s_t conditional moments,confirmed_correct_with_entropy_defect,"main.tex:344-360; DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1795-1815; tests/testthat/test_exdqlm_multivar_keep_latent_pseudodata_audit.R","Mean, variance, E[s], and E[s^2] match the positive-truncated normal conditional; active entropy is not the canonical truncated-normal entropy.",P1,"Replace active s_t entropy with the canonical natural-log truncated-normal entropy if ELBO is used for convergence/model comparison."
u_t conditional moments,confirmed_correct_after_index_fix,"main.tex:323-342; DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1833-1879,4001-4002,4694-4695; tests/testthat/test_exdqlm_multivar_keep_latent_pseudodata_audit.R","GIG family and moment formulas are correct; forecast-member update_uts previously used bare T indexing and is now patched to TT_sub.",P0,"Run targeted q35/q50/q95 reproductions after this fix; compare forecast u_t and pseudo-data against saved pre-fix evidence."
Pseudo-data algebra,confirmed_correct_but_unstable,"main.tex:947-967; DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:3539-3587; tests/testthat/test_exdqlm_multivar_keep_latent_pseudodata_audit.R; reports/exdqlm_multivar_keep_runtime_stability_2017_ready_q05_q35_q50_q95_20260520/runtime_key_findings.csv","FFF and QQQ implement y-bar offset and variance from information-form weights, but pathological latent/sigma-gamma moments produce extreme offsets and variances.",P0,"Add iteration-level pseudo-data snapshots and guard on FFF/QQQ diagonal ranges before Kalman update."
Compiled Kalman historical filter,confirmed_correct_fixture_scope,"DISC_kalman_synth_transfer_forecast.cpp:1157-1196; repro/audits/run_exdqlm_keep_kalman_fixture.R; reports/exdqlm_multivar_keep_kalman_fixture_20260520/kalman_fixture_checks.csv","Historical filtered mean/covariance match an R reference fixture within 1e-10 and covariance symmetry checks pass.",P2,"Extend fixture to ragged multi-segment keep smoothing with ppx>0 and J>1."
Compiled forecast/smoother ragged contract,inconclusive,"DISC_kalman_synth_transfer_forecast.cpp:1218-1350,1386-1770; reports/exdqlm_multivar_keep_kalman_fixture_20260520/kalman_fixture_checks.csv","Single-segment forecast covariance symmetry passes, but full ragged transfer-retained smoother is not fully reference-checked.",P2,"Build a J=2 ppx>0 fixture with segment transition and compare filtered/smoothed moments against a pure R implementation."
Wishart/covariance approximation,questionable,"docs/exdqlm_multivar_keep_wishart_ensemble_contract_audit.md; DISC_kalman_synth_transfer_forecast.cpp:52-80,1220-1244,1506-1510","C++ treats covariance means via inverse-Wishart expected precision/logdet approximations; runtime SPD/eigenvalue behavior across pathological lanes remains a risk.",P1,"Add eigenvalue/SPD-repair audit for W_list_ens and Kalman q matrices in q35/q50/q95."
Trend/transfer/discrepancy identifiability,questionable,"main.tex:63-99,103-112,161-239; docs/exdqlm_multivar_keep_state_contract_audit.md; reports/he2_exal_m_t1_reducedspec_trend_identifiability_audit_20260519/README.md","The state contract is dimensionally coherent, but retained transfer and discrepancy blocks can absorb similar signal under extreme pseudo-data.",P1,"Add component decomposition traces using the active state index map; test reduced designs with transfer/trend constraints."
Runtime instability root cause,confirmed_interactional,"docs/exdqlm_multivar_keep_runtime_stability_audit.md; reports/exdqlm_multivar_keep_runtime_stability_2017_ready_q05_q35_q50_q95_20260520/runtime_key_findings.csv; q50/logs/fit.log:15423,15472,15476","Pathological lanes show latent moment, pseudo-data, sigma/gamma, and state-norm amplification together; no single isolated layer explains all symptoms.",P0,"After the forecast u_t index fix, run narrow q05/q35/q50/q95 reproductions with iteration snapshots and compare against this report."
