component,theory_anchor,implementation_anchor,status,notes
mode_target,"main.tex:1147,1162","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:2232-2273",confirmed,"Code minimizes negative transformed objective, equivalent to maximizing tilde f"
transformed_coordinate_domain,"main.tex:1125-1148","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1957-1966,2033-2061",stabilized,"Current code bounds theta-space numerically instead of leaving xi fully unconstrained"
near_zero_gamma_split_search,"main.tex:1151-1157","no active implementation branch",gap,"Manuscript recommends split optimization across gamma<0 and gamma>0 near zero; current code does not implement it"
objective_hessian,"main.tex:1162-1165","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:2314-2323",confirmed,"numDeriv Hessian of dq_transf is used, fallback to -optim hessian"
covariance_formula,"main.tex:1164","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:2169-2190,2324",confirmed,"No-ridge case computes Sigma = (-H)^-1 after symmetrization"
ridge_regularization,"not in canonical formula","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:2173-2194",stabilizer,"Precision ridge changes pure Laplace covariance to regularized approximation"
delta_method_generic,"main.tex:1181-1185","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:2343-2346",confirmed,"Expected_f implements second-order Delta method"
exact_u_exponential_moments,"main.tex:1187-1191","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:2429-2449",approximate,"E[sigma] and E[1/sigma] use generic Delta instead of exact Gaussian-lognormal formula"
required_function_family,"main.tex:1194-1208","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:2349-2464",confirmed,"Returned expectations cover the manuscript-required function list"
entropy_formula,"main.tex:1169-1172 and transformed-density implication","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:2459-2466",confirmed,"Entropy of Gaussian in (u,xi) plus E[log J] is implemented correctly"
hess_ld_field_name,"notational only","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:2472,4293,4508",misnamed,"Hess.LD stores covariance Sigma, not Hessian"
guard_fallback_object,"not canonical Laplace","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1913-1951",fallback,"Fallback object returns seed-based diagonal covariance proxy and zero entropy"
namespace_use_for_hessian,"not theory","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:2315,2344",fragility,"Mode Hessian uses numDeriv::hessian explicitly, Expected_f uses bare hessian()"
stale_duplicate_path,"not canonical","R/environmetrics/20_model_setup.R:503-723",stale,"Legacy duplicate still uses old double-exponential map and old entropy formula"
