object,scope,shape,code_anchor,notes
historical_state_x_t,t=1..TT,"p*(J+1)+ppx","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1458-1506","baseline theta plus J discrepancy blocks plus transfer tail when covariates are enabled"
historical_GG,t=1..TT,"[p*(J+1)+ppx] x [p*(J+1)+ppx] x TT_sub","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1458-1506; 2941-2942","full historical transition cube passed to C++"
historical_FF,t=1..TT,"[p*(J+1)+ppx] x [J+1] x TT_sub","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1463-1467; 2947-2948","columns are target plus retrospective source measurements"
historical_y,t=1..TT,"[J+1] x TT_sub","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1367-1377; 2947-2948","row 1 is target; rows 2..J+1 are retrospective source series"
historical_FFF,t=1..TT,"[J+1] x TT_sub","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:3539; 3670-3672","additive pseudo-data offset ex_f in C++"
historical_QQQ,t=1..TT,"[J+1] x [J+1] x TT_sub","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:3540-3545; 3670-3672","diagonal pseudo-observation covariance ex_q in C++"
forecast_segment_state,segment seg=1..J,"p*(J-seg+2)+ppx","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1575-1613; 2961-2964","active_sources=J-seg+1; state includes baseline, active discrepancies, transfer tail"
forecast_GG_list,segment seg=1..J,"state_dim x state_dim x segment_horizon","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1581-1610; 2966-2971","time-varying transfer row uses future covariates X_f when ppx>1"
forecast_FF_list,segment seg=1..J,"state_dim x active_sources","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:1612-1613; 2975-2980","each active source loads its baseline/discrepancy column plus retained zeta"
forecast_FFF_forecast,segment seg=1..J,"sum(num_mem[1:active_sources]) x segment_horizon","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:3552-3565; 2976-2982","member-expanded additive pseudo-data offset"
forecast_QQQ_forecast,segment seg=1..J,"obs_dim x obs_dim x segment_horizon","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:3567-3587; 2978-2983","diagonal member-level pseudo-observation covariance"
forecast_cur_covs_list,segment seg=1..J,"state_dim x state_dim x segment_horizon","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:3655-3660; 2979-2984","forecast evolution covariance passed to transfer C++ core"
forecast_ensembles_forecast,segment seg=1..J,"obs_dim x segment_horizon","DISC_Optimal_Synth_Ranges_W_transfer_forecast.r:2829-2862; 2993-2994; 2981-2982","member observations concatenated by ragged horizon segment"
compiled_historical_filter,t=1..TT,"f=[J+1], q=[J+1]x[J+1]","DISC_kalman_synth_transfer_forecast.cpp:1155-1200","uses y - (FF'a + ex_f) and q=FF'RFF+ex_q"
compiled_forecast_filter,segment member time,"f=obs_dim, q=obs_dim x obs_dim","DISC_kalman_synth_transfer_forecast.cpp:1212-1350","expands source loading columns by num_mem and adds ex_f_list_ens/ex_q_list_ens"
