component,reference_value,mapping_status,reuse_strategy,notes
approved_builder,scripts/build_he2_bayesian_publication_relaunch_configs.py,direct_reuse,reuse exactly,builder already supports family selection and quantile_univariate model class
approved_validator,scripts/validate_he2_bayesian_publication_relaunch_prelaunch.py,direct_reuse,reuse exactly,validator already supports univar fit/full-pipeline smokes through quantile_univariate selection
queue_controller,scripts/run_multimodel_v8_queue.py,direct_reuse,reuse exactly,root-scoped active-process fix already allows parallel family controllers under separate artifact roots
bundle_contract,/data/muscat_data/jaguir26/project1_ucsc_phd_runtime/multimodel_v8_he2_publication_shared_inputs_20260510,direct_reuse,reuse exactly,same canonical 20260510 shared-input bundle root should be used per cutoff
data_start,1987-05-29,direct_reuse,reuse exactly,full retrospective history start is already enforced in the approved builder path
deterministic_climate_contract,PPT/SOIL blended deterministic climate with GDPC-backed PCA slot,direct_reuse,reuse exactly,univariate publication rows already use the same covariate names and deterministic climate support assets
runtime_posture,"7 quantile workers, 7 mc_cores, thread caps = 1",direct_reuse,reuse exactly,published univariate rerun already used one core per quantile and should keep that posture for parity
artifact_root_naming,multimodel_v8_he2_exdqlm_multivar_keep_all_cutoffs_sharedspec_20260516,requires_adaptation,new univar-specific artifact root with sharedspec naming,needs a dedicated exdqlm_univar sharedspec root so it can queue in parallel without colliding with keep/drop
template_and_batch,multivar keep/drop sharedspec template + batch pair,requires_adaptation,create univar twin template and batch using approved publication relaunch style,selection/family/model_class must target exdqlm_univar / quantile_univariate
shared_discount_bundle,set10_manual_20260516,partial_equivalent,project applicable state-evolution fields into univar state block,df_discrep has no univar state slot and must remain excluded to preserve current univar family contract
shared_epsilon_c_factor,"epsilon=30.0, c_factor=1.0",requires_code_or_policy_decision,decide whether to keep as metadata only or extend fit-stage to consume them,current exdqlm_univar fit path does not read forecast_cov prior knobs and the published univariate source config does not currently define that block
q50_stabilization,states freeze + fail_fast + median blend/step caps,partial_equivalent,reuse freeze_target/init/objective_guard subset; validate separately,multivariate median-specific stabilization knobs do not exist for univariate EXDQLM today
legacy_univar_launcher,/data/muscat_data/jaguir26/project1_ucsc_phd/scripts/launch_multimodel_v8_univar_featurecov_he2_rerun.py,requires_adaptation,quarantine and do not reuse,points to legacy all9-feature builder/validator path rather than the approved publication relaunch workflow
